content,SENTIMEN
"['payah', 'masa', 'mau', 'top', 'up', 'masa', 'batas', 'maximumnya', 'juta', 'wkwkk', 'duhh', 'bagusan', 'shopee', 'yang', 'lamaa', 'masih', 'bagusan', 'lapak', 'ijoo']",negatif
"['ft', 'to', 'fc', 'vbkm', 'john', 'nutty', 'bu', 'bu', 'bbbbvccc', 'kfcnb', 'bui', 'tts', 'er', 'tts', 'yg', 'jet', 'swt', 'bet', 'get']",negatif
"['sangat', 'membantu']",positif
"['shoppe', 'sangat', 'menyenangkandlm', 'belanja', 'menonton', 'bermain', 'game']",positif
['mantappppp'],positif
"['mksh', 'shopee', 'mg', 'sukses', 'sllu']",positif
['mantap'],positif
"['overall', 'mantap', 'jiwa', 'ting', 'ting']",positif
['lumayan'],positif
['josss'],positif
['mengganggu'],negatif
"['aku', 'sukaaaaaa', 'shope']",positif
"['hrga', 'terjangkau', 'murah']",positif
"['aplikasinya', 'terlalu', 'berat', 'hp', 'cuna', 'ram', 'gb', 'mau', 'belanja', 'aja', 'minta', 'ampun', 'susahnya']",negatif
"['lag', 'gak', 'jelas', 'shopee']",negatif
"['kurangnya', 'driver', 'sehingga', 'saya', 'mau', 'pesan', 'makan', 'harus', 'nunggu', 'lama', 'dan', 'akhirnya', 'dicancel', 'aplikasinya', 'sendiri']",negatif
"['sekarang', 'sudah', 'sekali', 'mau', 'pencarian', 'aj', 'lemott', 'banget', 'padahal', 'jaringan', 'stabil']",negatif
"['sejauh', 'ini', 'alhamdulillah', 'blm', 'pernah', 'kecewa', 'dgn', 'barang', 'yg', 'dkirim', 'dari', 'shoppe', 'semua', 'datang', 'sesuai', 'pesanan']",positif
[],positif
['bagus'],positif
"['belanja', 'amannyaman', 'tanpa', 'ribet']",positif
['nyaman'],positif
"['pengiriman', 'di', 'aplikasi', 'shopee', 'sangat', 'lambat']",negatif
"['dia', 'lelet', 'kalo', 'di', 'buka', 'itu', 'suka', 'ngelag', 'maaf', 'biasanya', 'ada', 'kurangg']",negatif
"['lemot', 'banget', 'setelah', 'di', 'update', 'eror', 'muter', 'gak', 'jelas', 'tolong', 'diperbaiki', 'lagi']",negatif
"['mantap', 'jiwa']",positif
"['belanja', 'online', 'jadi', 'gampang', '&', 'vocher', 'gratis', 'ongkirnya', 'oke']",positif
['good'],positif
"['sangat', 'memuaskan']",positif
['ok'],positif
['mantap'],positif
['mantap'],positif
"['josss', 'beli', 'apa', 'ajh', 'ada']",positif
"['oke', 'lah']",positif
['good'],positif
"['aplikasi', 'bagus']",positif
"['sangat', 'cocok']",positif
"['ini', 'kenapa', 'bayar', 'shoopee', 'pinjam', 'separuh', 'dulu', 'tapi', 'nominal', 'pembayaranya', 'tetap', 'tidak', 'berubah', 'kebiasaan', 'aplikasinya', 'gini', 'terus', 'klo', 'bayar', 'seoaro', 'dulu', 'ngga', 'diperbaiki', 'perbaiki']",negatif
"['shopee', 'live', 'dengan', 'slogan', 'mendadak', 'sultan', 'gak', 'cocok', 'reward', 'hanya', 'perak', 'per', 'menit', 'dan', 'akun', 'pun', 'sekarang', 'dibatasi', 'untuk', 'mendapatkan', 'reward', 'semakin', 'hari', 'semakin', 'gak', 'adil', 'kerasa', 'bener', 'perbedaan', 'pengguna', 'lama', 'dan', 'barunya']",negatif
"['ngak', 'tapaiongghu', 'ngak', 'tapai']",negatif
"['gak', 'pesen', 'barang', 'apa', 'apa', 'di', 'shopee', 'tiba', 'tiba', 'ada', 'kurir', 'nganterin', 'paket', 'cod', 'di', 'rumah', 'aneh', 'masa', 'bisa', 'ckout', 'sendir']",negatif
"['iklan', 'nya', 'kebanyak', 'tololll', 'di', 'youtube', 'kebanyakan', 'iklann', 'goblokkkk']",negatif
['bagus'],positif
"['banyak', 'banget', 'diskon/voucher', 'shopeenya']",positif
"['gk', 'bakal', 'lagi', 'gw', 'belanja', 'di', 'apk', 'ini', 'lgi', 'kapok', 'banget', 'gw']",negatif
['keren'],positif
['bagus'],positif
[],positif
['guwelakne'],negatif
"['biar', 'bintang', 'yang', 'bicara', 'dulu']",positif
"['terimakasih', 'kasih', 'shopee', 'saran', 'sedikit', 'saja', 'spy', 'bisa', 'men', 'download', 'video', 'di', 'shopee', 'lebih', 'mudah', 'untuk', 'keperluan', 'promo']",positif
"['sangat', 'memuaskan']",positif
"['banyak', 'kejutannya']",positif
"['senang', 'dengan', 'shopee']",positif
"['jos', 'markojos']",positif
"['semoga', 'terus', 'baik', 'layanannya']",positif
"['flashsale', 'hoax']",positif
"['banyak', 'promo', 'ya']",positif
['bagus'],positif
"['sering', 'banyak', 'event', 'promo', 'sih', 'tapi', 'tiap', 'jam', 'promo', 'nya', 'pasti', 'aplikasinya', 'lemot', 'hahaha', 'produk', 'rupiah', 'belom', 'ada', 'menit', 'udah', 'habis', 'gabisa', 'di', 'checkout', 'tapi', 'setelah', 'dicek', 'lagi', 'ternyata', 'habisnya', 'dalam', 'kurun', 'waktu', 'menit']",negatif
"['tidak', 'kompetitif']",negatif
"['sinyal', 'saya', 'padahal', 'bagus', 'tapi', 'lemot', 'gimana', 'mau', 'menang', 'war', 'flash', 'sale', 'kalau', 'gini', 'min', 'payah']",negatif
['ok'],positif
"['kenapa', 'sih', 'shopee', 'ini', 'udh', 'mulai', 'eror', 'shopeelatter', 'saya', 'kenapa', 'pilihan', 'bayar', 'nanti', 'atau', 'bayar', 'bulan', 'depan', 'jadi', 'gak', 'ada', 'padahal', 'saya', 'bayar', 'selalu', 'tepat', 'waktu', 'kadang', 'buat', 'pikiran', 'jadi', 'males', 'mau', 'apa', 'pake', 'shopee', 'lagi', 'kalo', 'begini']",negatif
"['tambah', 'lelet', 'setiap', 'bln', 'mesti', 'update', 'padahal', 'ini', 'tu', 'toko', 'online', 'cukup', 'bagus', 'sangat', 'sayang', 'kn']",negatif
"['min', 'cara', 'daftar', 'agen', 'shopee', 'express', 'bagai', 'mana']",positif
"['barang', 'ya', 'bagus']",positif
"['pokoknya', 'shopee', 'best']",positif
"['gembel', 'gak', 'pernah', 'telat', 'bayar', 'tapi', 'gak', 'bisa', 'upgrade', 'spaya', 'later']",negatif
"['dulu', 'so', 'pelayanan', 'para', 'selernya', 'kurang', 'memuaskan', 'dan', 'aplikasinya', 'sangat', 'lamban', 'terlalu', 'banyak', 'konten', 'yg', 'ga', 'jelas']",negatif
"['bagustapi', 'kenapa', 'sya', 'pake', 'spinjaman', 'ia']",positif
['terbaik'],positif
"['sangat', 'rekomended', 'bgttttttttttt']",positif
"['tolong', 'di', 'perbaiki', 'lelet', 'banget']",negatif
"['seneng', 'banget', 'belanja', 'di', 'sini', 'pelayanan', 'sangat', 'baik', 'dan', 'cepat']",positif
['lelet'],negatif
"['ini', 'tentang', 'voucher', 'gratis', 'ongkir', 'rupiah', 'tiba', 'tiba', 'pas', 'mau', 'check', 'out', 'nambah', 'lagi', 'tuh', 'ongkir', 'nya', 'ke', 'semula', 'se', 'akan', 'voucher', 'nya', 'gk', 'kepake', 'padahal', 'udh', 'dipake', 'ini', 'nge', 'bug', 'atau', 'gimana', 'toko', 'oren']",negatif
['memuaskan'],positif
"['pengirimannya', 'cepet', 'bgt', 'deh', 'tp', 'aplikasi', 'kek', 'berat', 'gitu', 'jadi', 'yh', 'bintang', 'dulu']",positif
['ok'],positif 
"['sangat', 'baik']",positif 
['ok'],positif 
['good'],positif
"['kebanyakan', 'biaya', 'koin', 'shopee', 'ga', 'bs', 'dibuat', 'belanja', 'cuma', 'buat', 'motong', 'harga', 'ga', 'tulus']",negatif
['mantap'],positif
"['mantap', 'sangat', 'puas']",positif
['oke'],positif
"['makin', 'kesini', 'makin', 'gak', 'suka', 'sama', 'shopee', 'telat', 'bayar', 'tagihan', 'saja', 'sampe', 'akun', 'dibatasi', 'gak', 'bisa', 'belanja', 'lagi', 'semua', 'akses', 'bahkan', 'bikin', 'akun', 'baru', 'juga', 'tetep', 'gak', 'bisa', 'dipake', 'buat', 'belanja', 'lagi', 'shopee', 'parah', 'ancur']",negatif
"['udah', 'diupdate', 'tpi', 'mlah', 'lemot']",negatif
"['sangat', 'membantu']",positif
['nokomen'],negatif 
"['parah', 'promo', 'belum', 'usai', 'sudah', 'berubah', 'cuma', 'iklan', 'doang']",negatif 
"['sekarang', 'klo', 'mau', 'liat', 'ulasan', 'orang', 'lain', 'ga', 'muncul', 'variasinya', 'kan', 'saya', 'jadi', 'ragu', 'mau', 'beli']",negatif
"['bagus', 'banget']",positif
"['aplikasinya', 'lelet', 'sekaliiiii', 'sekarang', 'udah', 'lama', 'tidak', 'belanja', 'lewat', 'aplikasi', 'ini', 'karena', 'leletnya', 'sampe', 'sy', 'uninstall', 'dan', 'sekarang', 'download', 'lagi', 'tapi', 'masih', 'lelet', 'tolong', 'dong', 'di', 'perbaiki', 'biar', 'nyaman', 'di', 'gunakan', 'semangat']",negatif 
"['aplikasi', 'tidak', 'stabil']",negatif 
"['bagus', 'bgttt']",positif 
"['sekarang', 'shopee', 'lemot', 'sekali', 'mau', 'isi', 'pulsa', 'kuota', 'data', 'isi', 'emoney', 'loadingnya', 'lama', 'bahkan', 'seringnya', 'gagal', 'buka', 'halaman', '--']",negatif 
['oky'],positif
"['sering', 'muncul', 'di', 'iklan', 'kesel', 'gua']",negatif 
['ok'],positif 
"['sangat', 'kecewa', 'makin', 'lemot', 'aplikasinya', 'order', 'berkali²', 'pas', 'pembayaran', 'selalu', 'loding', 'dan', 'ahirnya', 'dibatalkan', 'sama', 'pihak', 'sopi']",negatif 
"['dari', 'dulu', 'banyak', 'komplain', 'ni', 'aplikasi', 'lemotgk', 'ada', 'perubahanmalah', 'ada', 'biaya', 'aplikasi', 'gak', 'recommend']",negatif 
['shopeeok'],positif 
"['very', 'good', 'very', 'well']",positif 
"['sangat', 'bagus']",positif 
"['sangat', 'membantu']",positif 
"['klau', 'dapat', 'pinjaman', 'jangan', 'suka', 'tawarinyg', 'penting', 'sy', 'bayar', 'payleter', 'bener', 'kaga', 'pernah', 'nunggak', 'karena', 'membantu', 'sy', 'usaha', 'pinjaman', 'jangka', 'sebulan', 'dah', 'tebus', 'ama', 'yg', 'punya', 'langsung', 'bayarkadang', 'bulan', 'blm', 'blm', 'dah', 'pelunasanjangan', 'sampai', 'nunggaksaran', 'sy', 'gitu', 'aja']",negatif 
"['tingkatkan', 'terus', 'macam', 'producya']",positif 
"['permasalahan', 'sudah', 'selesai', 'tapi', 'peroses', 'cukup', 'panjang', 'dan', 'memakan', 'waktu', 'cukup', 'lama', 'untuk', 'menyelesaikanya']",negatif 
"['lemotdi', 'update', 'malah', 'lemot']",negatif 
"['angga', 'any']",positif
"['aku', 'cinta', 'kamu', 'love', 'youmiss', 'youbabay']",positif
"['mantul', 'mantap', 'betul', 'bos', ""'""]",positif 
"['good', 'job']",positif 
['yahava'],positif
['ll'],positif
"['ga', 'bgus', 'lemot', 'amat', 'pengiriman', 'nya', 'pun', 'mkin', 'lama', 'mles', 'bet', 'dpet', 'kurir', 'yg', 'katanya', 'sedang', 'dalam', 'tujuan', 'eh', 'gatau', 'nya', 'pas', 'malam', 'di', 'liat', 'pembeli', 'gada', 'dirumahbapak', 'dia', 'itu', 'gada', 'dirumah', 'jelas', 'jelas', 'saya', 'dirumah', 'nungguin', 'tu', 'paket', 'kga', 'ada', 'dtng', 'dibikin', 'pula', 'pembeli', 'gada', 'dirumah', 'tolong', 'la', 'shopee', 'tambahin', 'fitur', 'supaya', 'ada', 'nama', 'telepon', 'kurir', 'yg', 'ngantar', 'ke', 'alamat', 'tujuan', 'biar', 'enak', 'maki', 'nya', 'klo', 'ga', 'di', 'antar', 'oke', 'udh', 'lengkap', 'alamat', 'ku', 'dan', 'nomor', 'hp', 'aktif', 'terusmles', 'aku', 'buat', 'download', 'shopee', 'lgi']",negatif 
"['gamgu', 'cok', 'banyak', 'iklan', 'sopi']",negatif 
"['sangat', 'baik']",positif 
['top'],positif 
"['sang', 'at', 'baik']",positif 
"['padahal', 'saya', 'sudah', 'memakai', 'voucerr', 'diskon', 'tapi', 'tetap', 'saja', 'harganya', 'tidak', 'berubah']",negatif 
"['sangat', 'membantu', 'dan', 'harganya', 'banyak', 'yg', 'murah']",positif 
"['makin', 'lelet', 'aplikasinya']",negatif 
['ok'],positif 
"['belanja', 'tanpa', 'keluar', 'tenaga']",positif 
"['shopee', 'is', 'the', 'best']",positif 
['bagus'],positif 
"['bagus', 'sih']",positif 
"['sangat', 'mengecewakan', 'pihak', 'spinjam', 'nya', 'tidak', 'ada', 'koordinasi', 'dengan', 'baik', 'terkait', 'pembayaran', 'nasabah', 'update', 'nya', 'tidak', 'langsung', 'padahal', 'saya', 'sudah', 'bayar', 'hampir', 'minggu', 'stts', 'pembayaran', 'masih', 'belum', 'berubah', 'malah', 'bunga', 'semakin', 'naik', 'sudah', 'komplain', 'ke', 'cs', 'kali', 'tidak', 'ada', 'perubahan', 'yang', 'ada', 'team', 'kolektor', 'wa', 'dan', 'sms', 'saya', 'sangat', 'mengganggu', 'koordinasinya', 'sangat', 'buruk', 'padahal', 'satu', 'instansi', 'perusahaan']",negatif 
['yfyyre'],negatif
['oke'],positif 
['ok'],positif 
"['sangat', 'baik']",positif 
['ok'],positif 
['mantaaaab'],positif 
['matap'],positif 
"['shopee', 'memang', 'beda', 'dari', 'yang', 'lain']",positif 
"['untuk', 'aplikasi', 'ini']",positif 
['gg'],positif 
"['terima', 'kasih', 'shopeemembuat', 'kami', 'blnj', 'lbih', 'muda', 'dan', 'lbih', 'hemat']",positif 
"['mantap', 'brow']",positif 
"['ngelag', 'gak', 'bisa', 'masuk', 'untuk', 'cek', 'pengiriman']",negatif 
['terimakasih'],positif 
['ok'],positif 
"['sip', 'jos']",positif 
"['gmana', 'sih', 'donwload', 'jha', 'lma', 'bner']",negatif 
['tks'],negatif
['alhamdulillah'],positif 
['apik'],positif 
"['mantap', 'shopee', 'terdepan', 'banyak', 'diskon', 'dan', 'gratis', 'ongkir', 'jos', 'pokoknya']",positif 
['bagus'],positif 
['mantap'],positif 
"['oke', 'banget']",positif 
['baguss'],positif 
"['orderancpt', 'sampai']",positif 
['perfect'],positif 
['top'],positif 
['macettttt'],negatif 
"['minimal', 'koneksinya', 'buat', 'stabil', 'biar', 'kalo', 'flashsale', 'yang', 'lain', 'kebagian', 'juga']",negatif 
"['pinjol', 'haram', 'cicilan', 'ga', 'ngotak', 'sampe', '%']",negatif 
['bagus'],positif 
"['semakin', 'mantapapalagi', 'dengan', 'adanya', 'spaylaterjadi', 'makin', 'josss']",positif 
['mantap'],positif 
['mantul'],positif 
"['puas', 'belanja', 'di', 'shopee']",positif 
['ok'],positif 
['mantap'],positif 
['sholawat'],positif
"['iklan', 'terlalu', 'banyak', 'iklan', 'melulu']",negatif 
"['shopee', 'sangat', 'membantu', 'belanja', 'cepat', 'dan', 'sesuai', 'keinginan', 'smg', 'shopee', 'makin', 'maju', 'dan', 'sukses']",positif 
"['makin', 'kesini', 'makin', 'gak', 'jelas', 'nih', 'shopee']",negatif 
"['sangat', 'puss', 'blanja', 'shopee', 'dan', 'aman', 'sukses', 'selama', 'nya', 'shopee', 'dan', 'jaya']",positif 
"['sangat', 'bagus']",positif 
"['gila', 'sekarang', 'jualan', 'dishopee', 'potongan', 'admin', 'hampir', '%', 'lebihmau', 'chat', 'csmalah', 'robot', 'mulu', 'yg', 'jawabgedeg', 'bgt', 'guamakin', 'kaya', 'shopee', 'parah']",negatif 
"['sangat', 'membantu', 'dalam', 'belanja', 'online', 'terimakasih', 'shopee']",positif 
"['kenapa', 'saya', 'tidak', 'bisa', 'cod', 'tolol']",negatif 
"['mhon', 'maaf', 'kpd', 'pihak', 'shopeesya', 'ingin', 'menanya', 'kan', 'tntang', 'pmulihan', 'akun', 'di', 'batasisya', 'uda', 'mngajukan', 'pmulihan', 'akun', 'sya', 'yg', 'kena', 'fkata', 'pmberitaun', 'dari', 'email', 'pihak', 'shopeeakun', 'sya', 'akan', 'di', 'pulih', 'kan', 'kmbali', 'stelah', 'hri', 'di', 'hitung', 'dri', 'tgl', 'meyuntuk', 'penarikan', 'saldo', 'pda', 'akun', 'trsebuttiba', 'ada', 'pmberitaun', 'lagi', 'di', 'pihak', 'shopee', 'akun', 'sya', 'tidak', 'bisa', 'di', 'pulihkanmana', 'dong', 'janji', 'pihak', 'shopee', 'ke', 'pda', 'sya', 'bulan', 'yg', 'laluklau', 'akun', 'sya', 'di', 'batasi', 'tidak', 'apatapi', 'yg', 'masala', 'nya', 'ada', 'uang', 'sya', 'pda', 'akuntlong', 'puli', 'kn']",negatif 
"['aplikasi', 'mulai', 'terasa', 'berat']",negatif 
"['mudah', 'dimengerti']",positif 
"['sangt', 'bgus']",positif 
['mayan'],positif 
"['@', '@', 'ccg', 'uhhh', 'xx']",negatif
['mantap'],positif 
['good'],positif 
['mantap'],positif 
"['skrg', 'dah', 'mulai', 'ok']",positif 
"['sangat', 'membantu']",positif 
"['mantap', 'sopi']",positif 
"['saya', 'kurangi', 'bintangya', 'karna', 'apk', 'nya', 'sering', 'leletterus', 'mana', 'mau', 'meruba', 'alamat', 'mala', 'gk', 'bisa', 'mana', 'bolak', 'balik', 'terus', 'tetap', 'gk', 'bisatolong', 'dong', 'klw', 'puya', 'apk', 'jangan', 'di', 'persulit', 'bikin', 'alamat', 'garus', 'inila', 'itula', 'blah', 'blah', 'blahsusah', 'banget']",negatif 
"['shopee', 'memang', 'hebat', 'semoga', 'sukses', 'terus']",positif 
"['akun', 'dibatesiinn', 'gimana', 'sih', 'shopee', 'pdhl', 'uda', 'oke', 'cm', 'telat', 'bayar', 'aj', 'pdhl', 'uda', 'dibayar', 'haha', 'lucu', 'sih', 'mnding', 'usah', 'dibayar', 'aja', 'ap', 'ya', 'merugikan', 'wkwk']",negatif 
"['iklan', 'tdk', 'bermutu', 'bikin', 'habis', 'kuota']",negatif 
"['puas', 'banget', 'belaja', 'di', 'shopee']",positif 
"['maaf', 'saya', 'kasih', 'bintang', 'karena', 'makin', 'leletnggak', 'karuan', 'sudah', 'pakai', 'wifi', 'sampek', 'ganti', 'pakai', 'paket', 'data', 'tetap', 'muter', 'aja', 'mau', 'bayar', 'pakai', 'shopee', 'pay', 'pun', 'cuma', 'loading', 'terus', 'sampek', 'sekarang', 'nggak', 'bisa', 'mohon', 'perbaiki', 'donk', 'fiturnya']",negatif 
"['ngeriya', 'sm', 'nl']",negatif 
['oke'],positif 
['ok'],positif 
"['sangat', 'memuaskannnn', 'belanja', 'di', 'shoopee', 'harganya', 'murah', 'tapi', 'tidak', 'murahan', 'dan', 'barangnya', 'bagus']",positif 
['baik'],positif 
"['nunggu', 'barang', 'sampe', 'kaya', 'nunggu', 'antrian', 'haji', 'zaman', 'teknologi', 'modern', 'tp', 'kaya', 'zaman', 'pos', 'sepeda', 'ontel']",negatif 
"['mantap', 'pokonya']",positif 
[],negatif 
"['shopee', 'sangat', 'membantu', 'sekali']",positif 
"['jayajayajaya', 'semakin', 'jaya']",positif 
"['luv', 'luv', 'deh', 'untuk', 'shopee']",positif 
"['lumayan', 'membantu']",positif 
"['bintang', 'saya', 'kurangi', 'karna', 'fitur', 'face', 'id', 'menyusahkan', 'saya', 'ketika', 'checkout', 'barang', 'karna', 'fitur', 'hp', 'saya', 'kurang', 'memadai', 'tolong', 'fitur', 'face', 'id', 'dihapuskan', 'di', 'ganti', 'finger', 'print', 'atau', 'sandi', 'kembali']",negatif 
"['mantap', 'dah', 'shopee', 'iloveyou', 'fullll']",positif 
"['semakin', 'baru', 'aplikasi', 'semakin', 'lemot']",negatif 
['good'],positif 
"['aplikasi', 'ini', 'sangat', 'amat', 'bagus', 'saya', 'suka', 'sekali', 'saya', 'setiap', 'hari', 'di', 'gratisin', 'ongkir']",positif 
"['bgs', 'lah']",positif 
"['please', 'hapus', 'dong', 'shoppe', 'videonya', 'dan', 'beberapa', 'games', 'nya', 'ituh', 'yg', 'bikin', 'lemot', 'ini', 'aplikasi', 'buat', 'belanja', 'atau', 'buat', 'mainan']",negatif 
"['sangat', 'baik', 'terima', 'kasih', 'semoga', 'sukses', 'selalu', 'kurir', 'sangat', 'rama', 'baik', 'dan', 'sabar', 'shopi', 'semakin', 'terdepan', 'aamiin']",positif 
['okee'],positif 
['mantap'],positif 
"['semoga', 'selalu', 'amanah', 'shopee']",positif 
"['lazada', 'losss', 'bos', 'shopee', 'di', 'hati']",positif 
"['shopee', 'makin', 'kesana', 'makin', 'kesinipelit']",positif 
"['sip', 'tapi', 'suka', 'lelet']",negatif 
['mantap'],positif 
"['trimkasi', 'shope', 'jauh-jauh', 'di', 'papua', 'tpi', 'kalau', 'uda', 'buka', 'shope', 'seperti', 'belanja', 'di', 'mol', 'jakarta', 'barang', 'lengkap', 'semua']",positif 
"['semoga', 'amanah']",positif 
['lemot'],positif 
"['shopee', 'sekarang', 'kok', 'gini', 'amat', 'yaa', 'mau', 'apa', 'apa', 'susah', 'apalagi', 'menu', 'shopee', 'pay', 'nya', 'sering', 'banget', 'error', 'sedang', 'memuat', 'fitur', 'coba', 'perbaiki', 'lagi', 'donggg']",negatif 
"['sebelumnya', 'saya', 'minta', 'maaf', 'ini', 'spinjam', 'adanya', 'di', 'shopee', 'customer/shopee', 'belanja', 'shopee', 'customer', 'harus/kudu/wajib', 'download', 'waktu', 'daftar', 'shopee', 'driver', 'berharap', 'akun', 'shopee', 'driver', 'saya', 'orderan', 'food', 'tapi', 'kenyataan', 'dikasih', 'orderan', 'selalu', 'spxapalagi', 'josacacluster', 'italybanjar', 'wijaya-cipondohharus', 'bawa', 'galon', 'isi', 'auto', 'cancel', 'itupun', 'sudah', 'banyak', 'driver', 'mengadu', 'tp', 'tidak', 'ditanggapi', 'saya', 'putus', 'asasangkin', 'ingin', 'dapat', 'orderan', 'food', 'saja']",negatif 
"['aplikasi', 'sangat', 'lambat', 'dijalankan', 'meski', 'sudah', 'menggunakaan', 'internet', 'berkecepatan', 'tinggi', 'aplikasinya', 'juga', 'sering', 'hang', 'semakin', 'di-update', 'malah', 'semakin', 'lambat', 'banyak', 'fitur', 'tapi', 'lambat', 'dipakainya', 'bikin', 'hp', 'cepat', 'panas', 'udah', 'macam', 'pasar', 'tumpah', 'aja', 'shopee', 'nih']",negatif 
['mantappp'],positif 
"['makin', 'lelet', 'aplikasinya', 'berat', 'bgt', 'rasanya', 'udah', 'refresh', 'beberapa', 'kali', 'udh', 'dihapus', 'chahe', 'bahkan', 'hapus', 'data', 'tetep', 'aja', 'lelet', 'sering', 'lag', 'sama', 'banyak', 'bug', 'nya', 'juga', 'kadang', 'pas', 'buka', 'aplikasinya', 'layar', 'semua', 'putih', 'terus', 'sering', 'keluar', 'dari', 'aplikasinya', 'padahal', 'buka', 'aplikasi', 'lain', 'lancar', 'aja', 'jaringan', 'bagus', 'memori', 'jg', 'ga', 'penuh', 'tapi', 'pas', 'buka', 'shopee', 'maah', 'lag', 'terus', 'nge', 'blank', 'tak', 'kasih', 'bintang', 'dulu', 'harua', 'bagaimana', 'lagi', 'dah', 'habis', 'kata', 'kau', 'buat', 'jawab', 'kan', 'aplikasi', 'mu', 'lama', 'lama', 'bikin', 'naik', 'tensi']",negatif 
['bgs'],positif 
"['senang', 'lihat', 'video', 'shopee']",positif 
['bagus'],positif 
"['banyak', 'gratis', 'ongkirnya']",positif 
"['lebih', 'baik', 'dan', 'dipercaya', 'dari', 'yang', 'lain']",positif 
"['terbaik', 'di', 'belanja', 'online', 'terpercaya']",positif 
"['semenjak', 'saya', 'pake', 'aplikasi', 'shopperjadi', 'nggak', 'repot', 'untuk', 'berbelanja']",positif 
"['sangat', 'lemot', 'apl', 'belanja', 'online', 'kebanyakan', 'fitur', 'gk', 'penting', 'tidak', 'semua', 'pengguna', 'shopee', 'hp', 'nya', 'bagus', 'saya', 'harap', 'ada', 'apl', 'shopee', 'versi', 'lite', 'yang', 'tidak', 'ada', 'live', 'video']",negatif 
"['sangat', 'bagus']",positif 
"['mudah', 'mendapatkan', 'rejeki']",positif 
"['ok', 'bgus']",positif 
"['love', 'you']",positif 
"['belanja', 'murah', 'belanja', 'online', 'praktis']",positif 
"['klau', 'belanja', 'dishopee', 'enak', 'barang', 'dijamin', 'original']",positif 
"['penjual', 'jahat', 'main', 'blokir', 'minta', 'ganti', 'rugi', 'aja', 'blokir', 'tak', 'aklak', 'tambahan', 'baru', 'penjual', 'diberitau', 'cek', 'barang', 'kondisi', 'layak', 'atau', 'tidak', 'helm', 'dikirim', 'dengan', 'baut', 'hilang', 'tak', 'aklak', 'tambahan', 'lagi', 'saya', 'beli', 'barang', 'pakai', 'koin', 'sebanyak', 'ribu', 'koin', 'beli', 'sereal', 'eee', 'disuruh', 'batsl', 'minta', 'ganti', 'koin', 'diblokir', 'tak', 'aklak', 'makin', 'parah', 'susah', 'dipercaya', 'makin', 'lama', 'makin', 'parah', 'lagi', 'sinyal', 'bagus', 'tak', 'bisa', 'bayar', 'barang']",negatif 
['bagus'],positif 
"['belanja', 'online', 'yang', 'menguntungkan']",positif 
['suka'],positif 
"['sangat', 'membantu', 'dan', 'murah']",positif 
['baik'],positif 
['ok'],positif 
['jelek'],positif 
"['setelah', 'di', 'update', 'makin', 'ngebug', 'di', 'jaringan', 'dan', 'membayar', 'denhan', 'spaylater']",negatif 
"['cocok', 'untuk', 'kita', 'yang', 'suka', 'cod', 'ad']",positif 
"['barang', 'yg', 'datang', 'tepat', 'waktu', 'dan', 'sesuai', 'pesanan']",positif 
"['segala', 'sesuatu', 'yang', 'ingin', 'kita', 'perlihatkan', 'tak', 'perlu', 'banyak', 'sponsor', 'terimakasih']",positif 
['top'],positif 
"['real', 'pict', 'barangnya', 'tq', 'shopee']",positif 
['baik'],positif 
['baguss'],positif 
['mantap'],positif 
"['bagus', 'banget']",positif 
['keren'],positif 
"['keren', 'bagus']",positif 
"['pengiriman', 'lumayan', 'cepatrespon', 'lumayan', 'cepat']",positif 
"['tingkatkan', 'lagi', 'promosi', 'nya']",positif 
['bagus'],positif 
"['sangat', 'membantu']",positif 
"['aplikasinya', 'lemot', 'padahal', 'buka', 'game', 'dan', 'streaming', 'youtube', 'lancar', 'sering', 'lag', 'buat', 'hp', 'jadi', 'sangat', 'panas', 'seperti', 'main', 'game', 'lama', 'padahal', 'waktu', 'buka', 'apl', 'olshop', 'sebelah', 'engga', 'panas', 'tolong', 'diperbaiki']",negatif 
"['aku', 'sangat', 'suka', 'shoppee']",positif 
"['bagus', 'dah', 'pokoknya']",positif 
"['tidak', 'dapat', 'verifikasi', 'login', 'akun', 'aneh', 'banget', 'padahal', 'sesuai', 'semua']",negatif 
['bagus'],positif 
"['selalooo', 'di', 'depannnn', 'majuuu', 'terusss']",positif 
"['tolong', 'tambahkan', 'pembayaran', 'menggunakan', 'dana', 'bila', 'sudah', 'saya', 'tambahkan', 'bintang']",positif
"['makin', 'berat']",negatif 
"['mantap', 'lah', 'pokoknya', 'sudah', 'mantap', 'bang', 'hihi', 'mantap', 'hehe', 'iyo', 'bang', 'mantap', 'aduhhh', 'hihi', 'mantapsshh']",positif 
"['alhamdulillah', 'shopee', 'sangat', 'membantu', 'bagi', 'saya', 'seorang', 'ibu', 'rumah', 'tanggadengan', 'shopee', 'saya', 'bisa', 'membuka', 'usaha', 'dan', 'sambil', 'belanja', 'terimakasih', 'shopee']",positif 
"['belanja', 'di', 'shopee', 'selalu', 'menyenangkan']",positif 
['bahshs'],negatif
['mantap'],positif 
